,wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
140,M,mujets,up,5,0,2.5,200,300,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))+0.15420870704037967
141,M,mujets,up,5,0,2.5,300,600,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))+0.1475611517584101
142,M,mujets,up,5,0,2.5,600,1000,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))+0.08005493989474015
143,M,mujets,up,4,0,2.5,20,30,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))+0.12551405722461878
144,M,mujets,up,4,0,2.5,30,50,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))+0.07721528147858073
145,M,mujets,up,4,0,2.5,50,70,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))+0.09302861353737597
146,M,mujets,up,4,0,2.5,70,100,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))+0.08769573709351051
147,M,mujets,up,4,0,2.5,100,140,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))+0.13307329504358203
148,M,mujets,up,4,0,2.5,140,200,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))+0.39693131073712395
149,M,mujets,up,4,0,2.5,200,300,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))+0.462626121121139
150,M,mujets,up,4,0,2.5,300,600,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))+0.44268345527523023
151,M,mujets,up,4,0,2.5,600,1000,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))+0.24016481968422043
190,T,mujets,central,5,0,2.5,20,1000,0,1,0.770747+0.00618264*log(x+19)*log(x+18)*(3-0.318549*log(x+18))
191,T,mujets,central,4,0,2.5,20,1000,0,1,0.770747+0.00618264*log(x+19)*log(x+18)*(3-0.318549*log(x+18))
192,T,mujets,down,5,0,2.5,20,30,0,1,0.770747+0.00618264*log(x+19)*log(x+18)*(3-0.318549*log(x+18))-0.061760704099375
193,T,mujets,down,5,0,2.5,30,50,0,1,0.770747+0.00618264*log(x+19)*log(x+18)*(3-0.318549*log(x+18))-0.05741076672732981
194,T,mujets,down,5,0,2.5,50,70,0,1,0.770747+0.00618264*log(x+19)*log(x+18)*(3-0.318549*log(x+18))-0.026575575972158857
195,T,mujets,down,5,0,2.5,70,100,0,1,0.770747+0.00618264*log(x+19)*log(x+18)*(3-0.318549*log(x+18))-0.026437950648379633
196,T,mujets,down,5,0,2.5,100,140,0,1,0.770747+0.00618264*log(x+19)*log(x+18)*(3-0.318549*log(x+18))-0.04836682179850252
197,T,mujets,down,5,0,2.5,140,200,0,1,0.770747+0.00618264*log(x+19)*log(x+18)*(3-0.318549*log(x+18))-0.12469028207013716
198,T,mujets,down,5,0,2.5,200,300,0,1,0.770747+0.00618264*log(x+19)*log(x+18)*(3-0.318549*log(x+18))-0.15376466826206148
